Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 28 22:53 2014
***********
Set Up 8253
***********
************
Test Timer 0
************
                1510: OUT - xx1
            32773000: OUT - xx0
            65541000: OUT - xx1
            98309000: OUT - xx0
           131077000: OUT - xx1
************
Test Timer 1
************
           131077510: OUT - x11
           131098000: OUT - x01
           131099000: OUT - x11
           131116000: OUT - x01
           131117000: OUT - x11
           131134000: OUT - x01
           131135000: OUT - x11
*****************
Test Timer 2 Gate
*****************
           131135510: OUT - 111
           131152000: OUT - 101
           131153000: OUT - 111
           131170000: OUT - 101
           131171000: OUT - 111
           131188000: OUT - 101
           131189000: OUT - 111
           131206000: OUT - 101
           131207000: OUT - 111
           131224000: OUT - 101
           131225000: OUT - 111
           131242000: OUT - 101
           131243000: OUT - 111
           131260000: OUT - 101
           131261000: OUT - 111
           131278000: OUT - 101
           131279000: OUT - 111
           131296000: OUT - 101
           131297000: OUT - 111
           131314000: OUT - 101
           131315000: OUT - 111
           131332000: OUT - 101
           131333000: OUT - 111
           131350000: OUT - 101
           131351000: OUT - 111
           131368000: OUT - 101
           131369000: OUT - 111
           131386000: OUT - 101
           131387000: OUT - 111
           131404000: OUT - 101
           131405000: OUT - 111
           131422000: OUT - 101
           131423000: OUT - 111
           131440000: OUT - 101
           131441000: OUT - 111
           131458000: OUT - 101
           131459000: OUT - 111
           131476000: OUT - 101
           131477000: OUT - 111
           131494000: OUT - 101
           131495000: OUT - 111
           131512000: OUT - 101
           131513000: OUT - 111
           131530000: OUT - 101
           131531000: OUT - 111
           131548000: OUT - 101
           131549000: OUT - 111
           131566000: OUT - 101
           131567000: OUT - 111
           131584000: OUT - 101
           131585000: OUT - 111
           131602000: OUT - 101
           131603000: OUT - 111
           131620000: OUT - 101
           131621000: OUT - 111
           131638000: OUT - 101
           131639000: OUT - 111
           131656000: OUT - 101
           131657000: OUT - 111
           131674000: OUT - 101
           131675000: OUT - 111
           131692000: OUT - 101
           131693000: OUT - 111
           131710000: OUT - 101
           131711000: OUT - 111
           131728000: OUT - 101
           131729000: OUT - 111
           131746000: OUT - 101
           131747000: OUT - 111
           131764000: OUT - 101
           131765000: OUT - 111
           131782000: OUT - 101
           131783000: OUT - 111
           131800000: OUT - 101
           131801000: OUT - 111
           131805000: OUT - 011
           131818000: OUT - 001
           131819000: OUT - 011
           131836000: OUT - 001
           131837000: OUT - 011
           131854000: OUT - 001
           131855000: OUT - 011
           131872000: OUT - 001
           131873000: OUT - 011
           131890000: OUT - 001
           131891000: OUT - 011
           131908000: OUT - 001
           131909000: OUT - 011
           131926000: OUT - 001
           131927000: OUT - 011
           131944000: OUT - 001
           131945000: OUT - 011
           131962000: OUT - 001
           131963000: OUT - 011
           131980000: OUT - 001
           131981000: OUT - 011
           131998000: OUT - 001
           131999000: OUT - 011
           132016000: OUT - 001
           132017000: OUT - 011
           132034000: OUT - 001
           132035000: OUT - 011
           132052000: OUT - 001
           132053000: OUT - 011
           132070000: OUT - 001
           132071000: OUT - 011
           132088000: OUT - 001
           132089000: OUT - 011
           132106000: OUT - 001
           132107000: OUT - 011
           132124000: OUT - 001
           132125000: OUT - 011
           132142000: OUT - 001
           132143000: OUT - 011
           132160000: OUT - 001
           132161000: OUT - 011
           132178000: OUT - 001
           132179000: OUT - 011
           132196000: OUT - 001
           132197000: OUT - 011
           132214000: OUT - 001
           132215000: OUT - 011
           132232000: OUT - 001
           132233000: OUT - 011
           132250000: OUT - 001
           132251000: OUT - 011
           132268000: OUT - 001
           132269000: OUT - 011
           132286000: OUT - 001
           132287000: OUT - 011
           132304000: OUT - 001
           132305000: OUT - 011
           132322000: OUT - 001
           132323000: OUT - 011
           132340000: OUT - 001
           132341000: OUT - 011
           132358000: OUT - 001
           132359000: OUT - 011
           132376000: OUT - 001
           132377000: OUT - 011
           132394000: OUT - 001
           132395000: OUT - 011
           132412000: OUT - 001
           132413000: OUT - 011
           132430000: OUT - 001
           132431000: OUT - 011
           132448000: OUT - 001
           132449000: OUT - 011
           132466000: OUT - 001
           132467000: OUT - 011
           132470000: OUT - 111
           132484000: OUT - 101
           132485000: OUT - 111
           132502000: OUT - 101
           132503000: OUT - 111
           132520000: OUT - 101
           132521000: OUT - 111
           132538000: OUT - 101
