Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Sep 13 21:19 2014
***************
Setting Up Test
***************
**************
Run Some Tests
**************
OK: 01001001 01001001
OK: 00000011 00000011
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
OK: 11111111 11111111
